"Session Start","Length","Site","Game","Stake","Table","Hands","My C Won","Raise First","PF Squeeze","Limp/Raise","Limp/Call","PF AFq","CC 2Bet PF","Call Steal","3Bet PF","3Bet Steal","2Bet T","Call T 2Bet","CBet T","Donk T","2Bet R","Call R CBet","CBet R","Donk R","Probe R","River AFq","Turn AFq"
"2023/03/28 11:30 pm","1:43","Ignition","Holdem","$0.05 NL (6 max)","29113931","91","$9.61","29.63","0.00","-","-","19.75","0.00","0.00","12.50","50.00","14.29","-","50.00","0.00","0.00","-","0.00","100.00","-","83.33","50.00"
"2023/03/28 11:29 pm","1:12","Ignition","Holdem","$0.05 NL (6 max)","29114044","81","-$0.04","33.33","0.00","-","-","22.54","0.00","0.00","0.00","0.00","0.00","0.00","100.00","0.00","-","-","-","0.00","-","100.00","50.00"
"2023/03/24  1:08 am","0:52","Ignition","Holdem","$0.05 NL (6 max)","29083168","67","$3.48","32.26","0.00","-","-","18.46","0.00","30.00","6.90","10.00","66.67","-","-","0.00","0.00","-","-","0.00","-","50.00","66.67"
"2023/03/24 12:53 am","1:07","Ignition","Holdem","$0.05 NL (6 max)","29082473","83","-$0.08","40.00","0.00","-","-","23.75","0.00","0.00","9.09","33.33","0.00","-","-","-","0.00","-","-","0.00","-","66.67","28.57"
"2023/03/24 12:47 am","1:13","Ignition","Holdem","$0.05 NL (6 max)","29082052","66","-$0.18","20.00","0.00","-","-","19.35","0.00","-","7.14","-","100.00","-","100.00","0.00","0.00","-","100.00","-","-","80.00","100.00"
"2023/03/24 12:46 am","1:14","Ignition","Holdem","$0.05 NL (6 max)","29081770","77","-$3.54","25.00","0.00","-","-","14.29","0.00","14.29","5.88","14.29","60.00","-","100.00","0.00","-","-","100.00","-","-","100.00","66.67"
"2023/03/19  5:48 pm","1:13","Ignition","Holdem","$0.05 NL (6 max)","29054851","90","$14.14","19.51","0.00","-","-","16.47","7.14","36.36","5.71","9.09","12.50","100.00","66.67","0.00","0.00","100.00","-","25.00","-","50.00","38.46"
"2023/03/19  5:48 pm","1:14","Ignition","Holdem","$0.05 NL (6 max)","29054064","87","$1.92","19.05","0.00","-","-","17.07","0.00","16.67","9.52","16.67","33.33","-","0.00","33.33","0.00","-","-","0.00","-","80.00","66.67"
"2023/03/19  5:48 pm","1:15","Ignition","Holdem","$0.05 NL (6 max)","29053981","103","$0.31","15.69","0.00","-","-","10.20","0.00","22.22","4.76","0.00","100.00","-","50.00","0.00","0.00","-","100.00","-","0.00","60.00","100.00"
"2023/03/19  5:46 pm","1:17","Ignition","Holdem","$0.05 NL (6 max)","29054396","111","$3.16","21.43","0.00","-","-","14.02","5.56","13.33","6.82","13.33","0.00","-","0.00","0.00","0.00","-","-","0.00","0.00","50.00","0.00"
"2023/03/18 11:31 pm","1:05","Ignition","Holdem","$0.05 NL (6 max)","29048806","58","$3.24","39.13","0.00","-","-","20.34","10.00","0.00","13.04","33.33","0.00","-","100.00","0.00","50.00","-","100.00","0.00","-","75.00","66.67"
"2023/03/18 11:28 pm","1:08","Ignition","Holdem","$0.05 NL (6 max)","29050692","83","-$2.09","20.93","0.00","-","-","17.33","0.00","0.00","8.33","14.29","0.00","0.00","100.00","-","50.00","-","-","0.00","-","66.67","20.00"
"2023/03/18 11:27 pm","1:09","Ignition","Holdem","$0.05 NL (6 max)","29049934","86","$3.04","16.28","33.33","-","-","13.25","12.50","25.00","7.14","0.00","25.00","-","-","0.00","0.00","-","-","100.00","100.00","83.33","25.00"
"2023/03/18 11:26 pm","1:11","Ignition","Holdem","$0.05 NL (6 max)","29051073","78","$1.09","29.27","0.00","-","-","16.87","11.11","23.08","0.00","0.00","25.00","-","-","33.33","0.00","100.00","-","-","0.00","60.00","55.56"
"2023/03/06  9:37 pm","0:33","Ignition","Holdem","$0.05 NL (6 max)","28977438","53","$3.10","38.46","-","-","-","21.43","0.00","9.09","8.33","0.00","0.00","-","100.00","-","100.00","0.00","-","-","-","100.00","50.00"
"2023/03/06  9:36 pm","0:35","Ignition","Holdem","$0.05 NL (6 max)","28978054","28","$1.33","28.57","0.00","-","-","23.08","0.00","0.00","16.67","0.00","0.00","-","-","-","-","-","-","-","-","100.00","33.33"
"2023/03/06  9:36 pm","0:35","Ignition","Holdem","$0.05 NL (6 max)","28977124","33","-$1.60","41.67","0.00","-","-","20.59","0.00","-","0.00","-","50.00","-","-","-","100.00","-","-","-","-","100.00","66.67"
